COVID-19 Legislation,Region,Official Description,Source Link,Status Text,Last Timeline Action,Last Timeline Action Date,Internal Quorum Link
A.10193: Provides that certain schools shall experience no financial harm for reduced enrollment or inability to operate for the full 180 session days due to the outbreak of coronavirus disease 2019,New York,"Section 1 provides that if as a result of the state emergency executed- in Executive Order No. 202 on March 7, 2020, approved private schools serving students with disabilities subject to articles 81 and 89 of the education law, special act school districts, state supported schools pursuant to article 85 of the education law, add approved preschool special class and special class in an integrated setting programs pursu- ant to section 4410 of the education are unable to operate for the full 180 session days for the 2019-2020 school year, or experience a reduction in enrollment during 'the 2019-2020 school year, the 180 session day requirement shall be waived, so that such schools experience no financial harm for reduced enrollment or inability to operate for the full 180 session days. Section 2 is the effective date. &nbsp",https://nyassembly.gov/leg/?bn=A10193&term=2019,Introduced or Prefiled,Referred To Education,3/24/20,https://quorum.us/bill/2723258
A.10207: Establishes that all voting for the April 2020 presidential primary be conducted by absentee ballot,New York,"To allow voting for the 2020 primary to be conducted by ""emergency"" absentee ballot. &nbspDIFFERENCE BETWEEN ORIGINAL AND AMENDED VERSION (IF APPLICABLE): &nbsp",https://nyassembly.gov/leg/?bn=A10207&term=2019,Introduced or Prefiled,Referred To Election Law,3/24/20,https://quorum.us/bill/2723213
A.10183: Relates to prohibiting negative credit reporting on persons affected by the coronavirus,New York,Section 1 of the bill prohibits creditors from reporting new adverse information on individuals affected by coronavirus disease 2019 (COV1D- 19) to credit reporting agencies. To be affected by coronavirus disease 2019 (COVID-19) an individual must have suffered a financial harm due to missed work related to the declared state emergency. Section 2 is the effective date. &nbsp,https://nyassembly.gov/leg/?bn=A10183&term=2019,Introduced or Prefiled,Referred To Consumer Affairs And Protection,3/24/20,https://quorum.us/bill/2723187
H.B.585: Waive K-12 requirements due to COVID-19 closures,Ohio,To waive certain primary and secondary education requirements to account for school closings in compliance with the Director of Health&apos;s order due to the implications of COVID-19 and to declare an emergency.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-HB-585,Introduced or Prefiled,Introduced,3/24/20,https://quorum.us/bill/2723180
A.10208: Establishes the coronavirus pandemic small business and not-for-profit organization loan program,New York,"Section 1 outlines the following terms, ""affected businesses"", ""bank"", ""credit union"", ""department"", ""eligible financial institution"", ""grace period"", ""small business"", ""small not-for-profit organization"", and ""coronavirus pandemic."" Section two allows small businesses and not-for-profits to submit a loan guarantee claim to an eligible financial institution for the comp- troller's approval during the coronavirus. pandemic. Section three describes the loan program eligibility for small busi- nesses or not-for-profit organizations within New York. The provisions for eligibility state that the loan will not exceed $75,000 and will not charge interest until at least 270 days after the coronavirus pandemic is over. Additionally, the loan agreement will allow small businesses and not-for-profits a grace period of 180 days before repayment of the approved loan. The loan agreement must be paid in full within three to six equal payments without a prepayment penalty or early payment penal- ty. The eligible financial institution must offer credit counseling or refer credit counselors to said small businesses or organizations. Section four allows small businesses and not-for-profits to apply for additional extensions for each thirty day period the business is affected by the coronavirus pandemic. Small businesses and not-for-pro- fits can only apply for up to three loan extensions under this program. Section five describes the collection procedure for loans. Small busi- nesses and not-for-profits are expected to maintain records of when the loans were issued and of payments made to honor the loan guarantees issued under this act. No additional loan applications can be submitted after the coronavirus pandemic ends. Section six sets the effective date. &nbsp",https://nyassembly.gov/leg/?bn=A10208&term=2019,Introduced or Prefiled,Referred To Banks,3/24/20,https://quorum.us/bill/2723190
H.B.584: Temporarily change unemployment eligibility requirements,Ohio,To temporarily change eligibility and work search requirements under the Unemployment Compensation Law and to declare an emergency.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-HB-584,Introduced or Prefiled,Introduced,3/24/20,https://quorum.us/bill/2723149
"P.S.1541: Para establecer la “Ley de Emergencia por Coronavirus (COVID-19)”, a los fines de adoptar y mandatar medidas de emergencia en Puerto Rico debido al estado de emergencia por la pandemia del coronavirus; establecer la cubierta para pruebas para detectar coronavirus de forma gratuita para el paciente; disponer de la cubierta gratuita de tratamiento, medicamentos y vacuna, actual o que en su momento estuviera disponible, para las personas diagnosticadas con coronavirus; disponer medidas para preservar la salud y seguridad de las personas de edad avanzada en establecimientos de personas de edad avanzada o en proyectos de vivienda subsidiada por el Estado; establecer protecciones para arrendatarios y moratorias contra acciones de desahucio y cobro por parte de los arrendadores, según los términos y disposiciones de esta Ley; establecer su vigencia; y para otros fines relacionados.",Puerto Rico,"Para establecer la “Ley de Emergencia por Coronavirus (COVID-19)”, a los fines de adoptar y mandatar medidas de emergencia en Puerto Rico debido al estado de emergencia por la pandemia del coronavirus; establecer la cubierta para pruebas para detectar coronavirus de forma gratuita para el paciente; disponer de la cubierta gratuita de tratamiento, medicamentos y vacuna, actual o que en su momento estuviera disponible, para las personas diagnosticadas con coronavirus; disponer medidas para preservar la salud y seguridad de las personas de edad avanzada en establecimientos de personas de edad avanzada o en proyectos de vivienda subsidiada por el Estado; establecer protecciones para arrendatarios y moratorias contra acciones de desahucio y cobro por parte de los arrendadores, según los términos y disposiciones de esta Ley; establecer su vigencia; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135570,Out of Committee,Referido a Comisión(es),3/24/20,https://quorum.us/bill/2723150
H.B.590: Prohibit price gouging after a declaration of emergency,Ohio,To amend section 1345.99 and to enact section 1345.033 of the Revised Code to prohibit price gouging after a declaration of an emergency and to declare an emergency.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-HB-590,Introduced or Prefiled,Introduced,3/24/20,https://quorum.us/bill/2723165
S.B.177: AN ACT relating to education and declaring an emergency.,Kentucky,"Amend KRS 317A.010 to change the change the definition from ""blow dry services"" to ""shampoo and style services,"" and define ""stylist""; amend KRS 317A.050 to provide for an instructor training eligibility certificate and to reduce the number of hours of instruction required for a shampoo and style license from 450 to 300, revise the terminology to conform, specify requirements for a temporary event services permit, and remove residency requirement; amend KRS 317A.090 to remove restriction on when instructional hours may be given; amend KRS 317A.155 to allow stylists to operate outside of an establishment licensed by the board under certain conditions and to require permission of the person, or his or her legal representative, receiving services.",https://apps.legislature.ky.gov/record/20rs/sb177.html,Enacted,signed by Governor (Acts ch. 26),3/24/20,https://quorum.us/bill/2703645
"R.C.C.0636: Para que se ordene al Departamento de Salud de Puerto Rico prohibir que los laboratorios de referencia impongan un costo y/o precio mayor a la tarifa que los laboratorios clínicos pueden facturar al plan médico según lo establecido por los Centros de Servicios de Medicare y Medicaid para los códigos correspondientes a la prueba de detección del Coronavirus; prohibir que las aseguradoras o laboratorios de referencia impongan descuentos, penalidades y/o cualquier cargo que altere la tarifa que dicho laboratorio clínico puede facturar al plan médico y para otro fines relacionados.",Puerto Rico,"Para que se ordene al Departamento de Salud de Puerto Rico prohibir que los laboratorios de referencia impongan un costo y/o precio mayor a la tarifa que los laboratorios clínicos pueden facturar al plan médico según lo establecido por los Centros de Servicios de Medicare y Medicaid para los códigos correspondientes a la prueba de detección del Coronavirus; prohibir que las aseguradoras o laboratorios de referencia impongan descuentos, penalidades y/o cualquier cargo que altere la tarifa que dicho laboratorio clínico puede facturar al plan médico y para otro fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135559,Passed Original Chamber,Referido a Comisión(es),3/24/20,https://quorum.us/bill/2722762
"A.10169: Permits absentee voting in the event of an imminent, impending or urgent threat resulting from a disease outbreak",New York,"Section one adds a.new paragraph (e) to subdivision 1 of section 8-400 of the election law to authorize a qualified voter to vote as an absen- tee voter when they are unable or averse to appear personally at polling places due to imminent, impending or urgent disease outbreak, including but not limited to the coronavirus disease 2019 (COVID-19). Section two adds a new paragraph (c) to subdivision 3 of section 8-400 of the election law to modify the information required in each instance on the statement for the application for an absentee ballot to include a provision for voters that are unable or averse to appear personally at polling places due to imminent, impending or urgent disease outbreak, including but not limited to the coronavirus disease 2019 (COVID-19). Section three: This act shall take effect immediately and shall expire and be deemed repealed July 1, 2020. &nbsp",https://nyassembly.gov/leg/?bn=A10169&term=2019,Introduced or Prefiled,Referred To Election Law,3/24/20,https://quorum.us/bill/2723199
"P.S.1542: Para establecer la “Ley de Moratoria de Empréstitos por Emergencia de Coronavirus (COVID-19)”, a los fines de adoptar y mandatar medidas de emergencia en Puerto Rico debido al estado de emergencia por la pandemia del coronavirus; disponer moratorias automáticas en los empréstitos, según las disposiciones, términos y exclusiones que establece esta Ley; establecer protecciones para deudores contra acciones de ejecución de hipoteca, según los términos y disposiciones de esta Ley; establecer su vigencia; y para otros fines relacionados.",Puerto Rico,"Para establecer la “Ley de Moratoria de Empréstitos por Emergencia de Coronavirus (COVID-19)”, a los fines de adoptar y mandatar medidas de emergencia en Puerto Rico debido al estado de emergencia por la pandemia del coronavirus; disponer moratorias automáticas en los empréstitos, según las disposiciones, términos y exclusiones que establece esta Ley; establecer protecciones para deudores contra acciones de ejecución de hipoteca, según los términos y disposiciones de esta Ley; establecer su vigencia; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135571,Out of Committee,Referido a Comisión(es),3/24/20,https://quorum.us/bill/2723183
S.B.295: Refund liquor permit fees affected by COVID-19 closings,Ohio,"To require the Director of Commerce to refund certain liquor permit fees for liquor permits that are impacted by the Director of Health&apos;s order relating to bars and restaurants issued on March 15, 2020.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-SB-295,Introduced or Prefiled,Introduced,3/24/20,https://quorum.us/bill/2723148
H.B.583: Temporarily waive certain Medicaid requirements,Ohio,To waive certain Medicaid requirements during the COVID-19 emergency declaration and to declare an emergency.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-HB-583,Introduced or Prefiled,Introduced,3/24/20,https://quorum.us/bill/2723166
A.10160: Relates to decreasing the number of signatures needed for designating petitions and independent nominations in counties with coronavirus 2019,New York,"Section 1 amends 6-136 of the election law by adding a new subdivision 6 which reduces the signature requirements stated in paragraphs (a) through (1) of subdivision two of this section shall be reduced by one- third, rounded down to the nearest whole number Section 2 amends section 6-142 of the election law for independent candidates by adding a new subdivision 3 which reduces the signature requirements states in paragraphs (a) through (1) of subdivision two of this section shall be reduced by one-third, rounded down to the nearest whole number &nbspDIFFERENCE BETWEEN' ORIGINAL AND AMENDED VERSION (IF APPLICABLE): Not applicable &nbsp",https://nyassembly.gov/leg/?bn=A10160&term=2019,Introduced or Prefiled,Referred To Election Law,3/24/20,https://quorum.us/bill/2723236
"P.C.2448: Para añadir un nuevo subinciso (65) al inciso (b) del Artículo 2.04 de la Ley 85-2018, según enmendada, conocida como “Ley de Reforma Educativa”, a los fines de disponer para que el Secretario del Departamento de Educación les extienda a los estudiantes del sistema público de enseñanza, la modalidad de educación a distancia, mediante el método de curso en línea o video conferencia o a través de cualquier otro medio tecnológico que dicho funcionario estime pertinente; y para otros fines relacionados.",Puerto Rico,"Para añadir un nuevo subinciso (65) al inciso (b) del Artículo 2.04 de la Ley 85-2018, según enmendada, conocida como “Ley de Reforma Educativa”, a los fines de disponer para que el Secretario del Departamento de Educación les extienda a los estudiantes del sistema público de enseñanza, la modalidad de educación a distancia, mediante el método de curso en línea o video conferencia o a través de cualquier otro medio tecnológico que dicho funcionario estime pertinente; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135554,Passed Original Chamber,Referido a Comisión(es),3/24/20,https://quorum.us/bill/2722752
H.B.589: Require certain insurance cover pandemic losses,Ohio,To require insurers offering business interruption insurance to cover losses attributable to viruses and pandemics and to declare an emergency.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-HB-589,Introduced or Prefiled,Introduced,3/24/20,https://quorum.us/bill/2723156
H.B.588: Temporarily modify public assistance requirements,Ohio,"To delay eligibility redeterminations for certain public assistance programs, temporarily modify income eligibility requirements for certain public assistance programs, and to declare an emergency.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-HB-588,Introduced or Prefiled,Introduced,3/24/20,https://quorum.us/bill/2723177
S.B.294: Extend absent vote by mail to April 28,Ohio,"To extend absent voting by mail for the March 17, 2020, primary election to April 28, 2020, to make an appropriation, and to declare an emergency.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-SB-294,Introduced or Prefiled,Introduced,3/24/20,https://quorum.us/bill/2723145
"R.S.1353: Para añadir una Regla 50.2 a la Resolución del Senado 13, según enmendada, conocida como “Reglamento del Senado” del 9 de enero de 2017, a los fines de garantizar la continuidad de los trabajos legislativos cuando se haya declarado una emergencia; y para otros fines relacionados.",Puerto Rico,"Para añadir una Regla 50.2 a la Resolución del Senado 13, según enmendada, conocida como “Reglamento del Senado” del 9 de enero de 2017, a los fines de garantizar la continuidad de los trabajos legislativos cuando se haya declarado una emergencia; y para otros fines relacionados.",https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135567,Enacted,Aprobado por el Senado en Votación Final,3/24/20,https://quorum.us/bill/2723157
R.C.C.0634: Para que se prohíba todo tipo de gestión de cobro mientras esté vigente el toque de queda y cierre de los comercios y para otros fines relacionados.,Puerto Rico,Para que se prohíba todo tipo de gestión de cobro mientras esté vigente el toque de queda y cierre de los comercios y para otros fines relacionados.,https://sutra.oslpr.org/osl/esutra/MedidaReg.aspx?rid=135561,Passed Original Chamber,Referido a Comisión(es),3/24/20,https://quorum.us/bill/2722780
"A.10182: Extends the renewal of driver's licenses, non-driver identification cards and inspections of motor vehicles for three months",New York,Section 1 extends the renewal deadline for driver's licenses and non- driver identification cards for three months from the expiration date on the driver's licenses and non-driver identification cards in hopes to preserve public health and safety. Section two allows the commissioner of motor vehicles to extend the renewal date of any driver's licenses and non-driver identification cards in the interest of public health and safety. Section three sets the effective date. &nbsp,https://nyassembly.gov/leg/?bn=A10182&term=2019,Introduced or Prefiled,Referred To Transportation,3/24/20,https://quorum.us/bill/2723228
A.10172: Relates to COVID-19 exposure during a state of emergency by volunteer firefighters and volunteer ambulance workers,New York,"Section 1. amends the volunteer firefighters' benefit law by adding a new section 11-d to provide that during a declared state of emergency if a volunteer firefighter during the course of their duties is exposed to COVID19 the chief engineer or other executive officer of the fire department may authorize immediate testing and treatment. Additionally this section provides that any condition, impairment of health, or death resulting from COVID-19 would be covered by the volunteer firefighters benefit law. Section 2. amends the volunteer ambulance workers' benefit law by adding a new section 11-d to provide that during a declared state of emergency if a volunteer ambulance workers during the course of their duties is exposed to COVID-19 the captain or other executive officer of the ambu- lance department, volunteer company or ambulance district may authorize immediate testing and treatment. Additionally this section provides that any condition, impairment of health, or death resulting from COVID-19 would be covered by the volunteer ambulance workers' benefit law. Section 3. is the enacting clause. &nbspDIFFERENCE BETWEEN ORIGINAL AND AMENDED VERSION (IF APPLICABLE): N/A &nbsp",https://nyassembly.gov/leg/?bn=A10172&term=2019,Introduced or Prefiled,Referred To Local Governments,3/24/20,https://quorum.us/bill/2723248
"A.10189: Provides that school districts, including the city school district of the city of New York, are entitled to an apportionment of state aid for the closure of schools due in response to the novel coronavirus",New York,"Section one of the bill amends Subdivision 7 of section 3604 of the education law, as amended by chapter 605 of the laws of 2019, as it relates to providing school districts an apportionment of state aid for the closure of schools due in response to the novel coronavirus, even when no state of emergency has been declared. Section two of the bill sets the effective date. &nbsp",https://nyassembly.gov/leg/?bn=A10189&term=2019,Introduced or Prefiled,Referred To Education,3/24/20,https://quorum.us/bill/2723239
A.3866: Establishes sales tax credit and sales tax holiday for portion of state of emergency related to COVID-19 pandemic.,New Jersey,Establishes sales tax holiday for duration of state of emergency related to COVID-19 pandemic.,https://www.njleg.state.nj.us/bills/BillView.asp?BillNumber=A3866,Introduced or Prefiled,"Introduced, Referred to Assembly Budget Committee",3/23/20,https://quorum.us/bill/2721992
H.B.2907: budget procedures; budget reconciliation; 2020-2021,Arizona,"HB2907 - 542R - House Bill Summary

ARIZONA HOUSE OF REPRESENTATIVES

Fifty-fourth Legislature

Second Regular Session

HB

2907: budget procedures; budget reconciliation; 2020-2021

Sponsor: Representative Bowers, LD 25

House Engrossed

Overview

Contains

budget procedures and reconciliation provisions needed for implementing the FY

2021 budget.

History

The Arizona Legislature adopts a budget for each fiscal year (FY) that

contains general appropriations. Article IV, Section 20,

Part 2, Constitution of Arizona, requires the General

Appropriations Act (feed bill) to contain only appropriations for the different

state departments, state institutions, public schools and interest on public

debt. Statutory changes necessary to reconcile the appropriations made in the

feed bill and other changes are drafted into separate bills known as Budget

Reconciliation Bills (BRBs). These BRBs are prepared according to subject

area.

Provisions

1. Establishes the Motor Vehicle Pool

Consolidation Fund on July 1, 2021, rather than July 1, 2020. (Sec. 1)

2. Establishes the

Contingency and Safety Net Fund (Fund) that consists of monies appropriated to

the Fund and received by the Office of the Governor from any lawful private or

public source. (Sec. 2)

3. Specifies that the

Office of the Governor administers the Fund and that the monies are

continuously appropriated and exempt from lapsing. (Sec. 2)

4. Allows the Office of

the Governor to accept and spend local, state and federal monies and private

grants, gifts, contributions and devises to assist in carrying out the Fund.

(Sec. 2)

5. Stipulates that the monies in the Fund

may only be spent after the Governor's declaration of a state of emergency and

only for the following forms of economic assistance during the state of

emergency:

a) Housing assistance, including payments

to prevent foreclosure or eviction.

b) Monies for entities to provide services

for homeless people, including shelter, clothing, food and transportation.

c) Economic assistance to small businesses

with less than 50 employees, health care providers and nonprofit organizations.

d) Monies for food bank

operations. (Sec. 2)

6. Requires the Office of the Governor to

notify the following people before spending monies in the fund on the intended

use of the monies:

a) The President of the Senate;

b) The Speaker of the House of

Representatives; and

c) The Joint

Legislative Budget Committee. (Sec. 2)

7. Directs the monies

in the Fund to be used to supplement and not supplant any monies allocated by

the federal government for economic assistance during a state of emergency.

(Sec. 2)

8. Appropriates $50

million from the state General Fund in FY 2020 to the Fund, in addition to any

other appropriations made in FY 2020. (Sec. 8)

9. States that any

unexpended and unencumbered monies appropriated to the Fund revert to the state

General Fund on June 30, 2021. (Sec. 8)

10. Requires

reimbursement of incurred expenses by counties to administer the 2020

presidential preference election to be made, as determined by the Secretary of

State and prescribed in the FY 2021 feed bill. (Sec. 3)

11. Stipulates that any

unrestricted federal monies received beginning July 1, 2020 through June 30,

2021 must be deposited in the state General Fund and used to pay essential

governmental services. (Sec. 4)

12. States that the

Capital Outlay Stabilization Fund rental rates for state-owned buildings in FY

2021 are $17.87 per square foot for office space and $6.43 per square foot for

storage space. (Sec. 5)

13. Specifies that the

Legislature is not required to appropriate monies to or transfer monies from

the Budget Stabilization Fund in FY 2021 through FY 2023. (Sec. 6)

14. Contains a

legislative intent clause. (Sec. 7)

15. Applies the deposit

of unrestricted federal monies retroactive to July 1, 2020. (Sec. 4)

16. Contains a

retroactivity clause of July 1, 2020 for the establishment of the Motor Vehicle

Pool Consolidation Fund. (Sec. 9)

----------

DOCUMENT FOOTER ---------

HB

2907

Initials SJ Page 0 House

Engrossed

----------

DOCUMENT FOOTER ---------",https://apps.azleg.gov/BillStatus/BillOverview/74217,Out of Committee,Committee of the Whole - DPA,3/23/20,https://quorum.us/bill/2722587
H.B.2904: human services; budget reconciliation; 2020-2021,Arizona,"HB2904 - 542R - House Bill Summary

ARIZONA HOUSE OF REPRESENTATIVES

Fifty-fourth Legislature

Second Regular Session

HB

2904: human services; budget reconciliation; 2020-2021

Sponsor: Representative Bowers, LD 25

House Engrossed

Overview

Contains

budget reconciliation provisions relating to human services needed for

implementing the FY 2021 budget.

History

The Arizona Legislature adopts a budget for each

fiscal year (FY) that contains general appropriations. Article IV, Section 20,

Part 2, Constitution of Arizona, requires the General Appropriations Act (feed

bill) to contain only appropriations for the different state departments, state

institutions, public schools and interest on public debt. Statutory changes

necessary to reconcile the appropriations made in the feed bill and other

changes are drafted into separate bills know as Budget Reconciliation Bills

(BRBs). These BRBs are prepared according to the subject area.

Provisions

1. Allows monies in the Special

Administration Fund to pay for domestic violence and prevention and

cost-effectiveness study client services. (Sec. 1)

2. Requires the Arizona

Department of Economic Security (DES) to screen and test each adult recipient

who is eligible for temporary assistance for needy families and who DES has

reasonable cause to believe engages in the illegal use of controlled

substances. (Sec. 2)

3. Provides that any

recipient who is found to have tested positive for the use of a controlled

substance that was not prescribed for the recipient by a licensed health care

provider is ineligible to receive benefits for one year. (Sec. 2)

4. Requires the Arizona

Auditor General, by September 30, 2021, to provide to the Governor, the

Legislature and the Directors of the Joint Legislative Budget Committee and the

Governor's Office of Strategic Planning, a report regarding the Arizona

Department of Child Safety's practices for classifying and locating runaway or

missing children. (Sec. 3)

5. Provides that the

report must compare the program to best practices and recommend improvements,

as appropriate. (Sec. 3)

6. Repeals the report

requirement on January 1, 2022. (Sec. 3)

7. Requires DES, during

the state of emergency declaration period for COVID-19, under the direction of

the Governor to provide: an exemption from the state time limits for temporary

assistance for needy families (TANF) assistance; and a general waiver of the

work requirements for TANF. (Sec. 4)

8. Allows the Arizona Health Care Cost

Containment System (AHCCCS) to authorize payments to providers of behavioral

health services and providers of services to individuals with intellectual and

developmental disabilities and individuals who are elderly or have physical

disabilities in order to ensure that providers maintain capacity to continue to

provide services during the state of emergency. (Sec. 5)

9. Provides that AHCCCS

must implement payments to providers in a manner that ensures federal financial

participation eligibility for the expenditures and is within AHCCCS's

expenditure authority for FY 2020. (Sec. 5)

10. Provides that AHCCCS

must implement payments to providers in a manner that ensures federal financial

participation eligibility for the expenditures and is within AHCCCS's

expenditure authority for FY 2020. (Sec. 5)

11. Contains a

retroactivity clause. (Sec. 6)

12. Makes technical and

conforming changes. (Sec. 1)

----------

DOCUMENT FOOTER ---------

HB

2904

Initials IG Page 0 House

Engrossed

----------

DOCUMENT FOOTER ---------",https://apps.azleg.gov/BillStatus/BillOverview/74214,Out of Committee,Committee of the Whole - DPA,3/23/20,https://quorum.us/bill/2722591
H.B.581: Address immediate concerns related to COVID-19,Ohio,To address immediate concerns related to COVID-19.,https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-HB-581,Introduced or Prefiled,Introduced,3/23/20,https://quorum.us/bill/2723012
H.B.2911: unemployment compensation; coronavirus disease.,Arizona,"HB2911 - 542R - House Bill Summary

ARIZONA HOUSE OF REPRESENTATIVES

Fifty-fourth Legislature

Second Regular Session

HB

2911: unemployment compensation; coronavirus disease.

Sponsor: Representative Bowers, LD 25

House Engrossed

Overview

Retroactive

to March 11, 2020, an emergency measure that permits the Arizona Department of

Economic Security (DES) to establish an alternative unemployment insurance (UI)

benefit program for people impacted by the coronavirus disease (COVID-19).

History

Employees

becoming unemployed through no fault of their own may be eligible for UI

benefits, which are based on a formula outlined in statute. Weekly UI benefits

are calculated according to wages earned from employers who paid unemployment

taxes to the State of Arizona. The benefit amount is 4% of the wages paid in

the highest quarter of the worker's base period, with the current maximum set

at $240 per week. (A.R.S. § 23-779)

Unemployed

workers are eligible to receive UI benefits if they earned wages for insured

work, register to work and fill out the necessary claim forms. These workers

must regularly report to the DES employment office, be able to work, available for

work and then search for work as outlined for at least four days per week,

making at least one job contact each day. (A.R.S. § 23-771)

The U.S. Department of Labor, Employment and Training Administration,

issued the Unemployment Insurance Program Letter No. 10-20 in

mid-March 2020. The letter provides guidance to states regarding unemployment

compensation flexibility for individuals affected by COVID-19.

Arizona Governor Douglas A. Ducey issued a declaration of Public Health

Emergency in order to prepare, prevent, respond to and mitigate the effects

related to the COVID-19 virus. The Executive Order was issued

March 11, 2020.

Provisions

1. As session law, authorizes DES to

establish alternative UI benefit eligibility and employer contribution

requirements that meet Federal guidelines set by the U.S. Department of Labor

for individuals and businesses impacted by the COVID-19 virus. (Sec. 1)

2. When setting the

employer's contribution rate for the UI program, prohibits DES from considering

any increased benefits charged against the employer's account as a result of

the alternative benefits for individuals affected by COVID-19. (Sec. 1)

3. Permits DES to

modify the eligibility requirements for the shared work program during the

COVID-19 emergency declaration period, except DES cannot approve any

individual's shared work benefits that have been reduced by more than 80%.

(Sec. 1)

4. Authorizes DES to

adopt pertinent rules to administer the program. (Sec. 1)

5. Exempts DES from the

Administrative Procedures Act and the requirements for the formal rulemaking

process. (Sec. 1)

6. Contains an intent

clause. (Sec. 2)

7. Contains a

retroactivity clause of March 11, 2020. (Sec. 3)

8. Contains an

emergency clause. (Sec.4)

9.

10.

11. ---------- DOCUMENT FOOTER

---------

12. HB

2911

13. Initials

DC Page 0 House Engrossed

14.

15. ---------- DOCUMENT FOOTER

---------",https://apps.azleg.gov/BillStatus/BillOverview/74233,Out of Committee,Committee of the Whole - DPA,3/23/20,https://quorum.us/bill/2722730
A.J.R.160: Supports Chinese and Asian American communities and international partners during coronavirus disease 2019 epidemic.,New Jersey,Supports Chinese and Asian American communities and international partners during coronavirus disease 2019 epidemic.,https://www.njleg.state.nj.us/bills/BillView.asp?BillNumber=AJR160,Introduced or Prefiled,"Introduced, Referred to Assembly Homeland Security and State Preparedness Committee",3/23/20,https://quorum.us/bill/2722013
S.8123: Permits any individual to receive free coronavirus disease 2019 (COVID-19) testing,New York,Permits any individual to receive free coronavirus disease 2019 (COVID-19) testing; such individuals may be tested anonymously and no identifying information shall be provided to any non-medical state or federal agency.,http://nysenate.gov/legislation/bills/2019/S8123,Introduced or Prefiled,Referred To Health,3/23/20,https://quorum.us/bill/2723137
S.8110: Establishes the small business containment assistance program; and making an appropriation therefor,New York,Establishes the small business containment assistance program; and making an appropriation therefor.,http://nysenate.gov/legislation/bills/2019/S8110,Introduced or Prefiled,Referred To Finance,3/23/20,https://quorum.us/bill/2723053
"A.C.R.168: Urges federal government to extend ""REAL ID Act of 2005"" deadline.",New Jersey,"Urges federal government to extend ""REAL ID Act of 2005"" deadline.",https://www.njleg.state.nj.us/bills/BillView.asp?BillNumber=ACR168,Introduced or Prefiled,"Introduced, Referred to Assembly Transportation and Independent Authorities Committee",3/23/20,https://quorum.us/bill/2722045
S.8118: Relates to prohibiting negative credit reporting on persons affected by the coronavirus,New York,Prohibits negative credit reporting on consumers who have suffered financial harm as a result of the declared state of emergency relating to the coronavirus.,http://nysenate.gov/legislation/bills/2019/S8118,Introduced or Prefiled,Referred To Consumer Protection,3/23/20,https://quorum.us/bill/2723033
S.8112: Relates to decreasing the number of signatures needed for designating petitions and independent nominations in counties with coronavirus 2019,New York,"Decreases the number of signatures needed for designating petitions and independent nominations by one-third for political subdivisions, wholly or in part, within a county in which one or more residents have been confirmed to be diagnosed with coronavirus disease 2019 (COVID-19) for year two thousand twenty.",http://nysenate.gov/legislation/bills/2019/S8112,Introduced or Prefiled,Referred To Elections,3/23/20,https://quorum.us/bill/2723139
S.8107: Requires SUNY and CUNY schools to refund students for housing credits and boarding charges used or charged for the period of time when such schools are closed or shut down due to the coronavirus pandemic,New York,Requires SUNY and CUNY schools to refund students for housing credits and boarding charges used or charged for the period of time when such schools are closed or shut down due to the coronavirus pandemic.,http://nysenate.gov/legislation/bills/2019/S8107,Introduced or Prefiled,Referred To Higher Education,3/23/20,https://quorum.us/bill/2723052
S.8109: Relates to suspending mortgages and loans from state-chartered banks and credit unions for small businesses and restaurants that have closed or reduced services due to the coronavirus,New York,Suspends mortgages and loans from state-chartered banks and state-chartered credit unions for small businesses and restaurants that have closed or reduced services due to the coronavirus disease 2019 (COVID-19).,http://nysenate.gov/legislation/bills/2019/S8109,Introduced or Prefiled,Referred To Banks,3/23/20,https://quorum.us/bill/2723036
H.B.580: Require health plan issuers cover telemedicine in emergency,Ohio,"To amend section 3902.30 of the Revised Code to require health plan issuers to cover telemedicine services during a state of emergency, and to declare an emergency.",https://www.legislature.ohio.gov/legislation/legislation-summary?id=GA133-HB-580,Introduced or Prefiled,Introduced,3/23/20,https://quorum.us/bill/2723008
"A.3878: Prohibits electric, gas, or water public utility service discontinuances to residential customers during certain epidemics.",New Jersey,"Prohibits electric, gas, or water public utility service discontinuances to residential customers during certain epidemics.",https://www.njleg.state.nj.us/bills/BillView.asp?BillNumber=A3878,Introduced or Prefiled,"Introduced, Referred to Assembly Telecommunications and Utilities Committee",3/23/20,https://quorum.us/bill/2722047
